web-scraper-order,web-scraper-start-url,links,links-href,Name,Company,Founded,Origin,Published,About
"1704575991-1","https://www.ellenmacarthurfoundation.org/circular-examples-collection-great-ideas","Article<picture><source type=""image/avif"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/4NgiRKE4Boy0368Q1IwG11/e1dde83ab19279340b93cb37c67ee8ff/AdobeStock_169039678.jpeg?w=625&amp;h=417&amp;q=80&amp;fm=avif 625w,https://images.ctfassets.net/isq5xwjfoz2m/4NgiRKE4Boy0368Q1IwG11/e1dde83ab19279340b93cb37c67ee8ff/AdobeStock_169039678.jpeg?w=1250&amp;h=835&amp;q=80&amp;fm=avif 1250w,https://images.ctfassets.net/isq5xwjfoz2m/4NgiRKE4Boy0368Q1IwG11/e1dde83ab19279340b93cb37c67ee8ff/AdobeStock_169039678.jpeg?w=2500&amp;h=1669&amp;q=80&amp;fm=avif 2500w"" sizes=""(min-width: 2500px) 2500px, 100vw""/><source type=""image/webp"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/4NgiRKE4Boy0368Q1IwG11/e1dde83ab19279340b93cb37c67ee8ff/AdobeStock_169039678.jpeg?w=625&amp;h=417&amp;q=80&amp;fm=webp 625w,https://images.ctfassets.net/isq5xwjfoz2m/4NgiRKE4Boy0368Q1IwG11/e1dde83ab19279340b93cb37c67ee8ff/AdobeStock_169039678.jpeg?w=1250&amp;h=835&amp;q=80&amp;fm=webp 1250w,https://images.ctfassets.net/isq5xwjfoz2m/4NgiRKE4Boy0368Q1IwG11/e1dde83ab19279340b93cb37c67ee8ff/AdobeStock_169039678.jpeg?w=2500&amp;h=1669&amp;q=80&amp;fm=webp 2500w"" sizes=""(min-width: 2500px) 2500px, 100vw""/><img data-gatsby-image-ssr="""" data-main-image="""" style=""opacity:0"" sizes=""(min-width: 2500px) 2500px, 100vw"" decoding=""async"" loading=""lazy"" src=""https://images.ctfassets.net/isq5xwjfoz2m/4NgiRKE4Boy0368Q1IwG11/e1dde83ab19279340b93cb37c67ee8ff/AdobeStock_169039678.jpeg?w=2500&amp;h=1669&amp;fl=progressive&amp;q=80&amp;fm=jpg"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/4NgiRKE4Boy0368Q1IwG11/e1dde83ab19279340b93cb37c67ee8ff/AdobeStock_169039678.jpeg?w=625&amp;h=417&amp;fl=progressive&amp;q=80&amp;fm=jpg 625w,https://images.ctfassets.net/isq5xwjfoz2m/4NgiRKE4Boy0368Q1IwG11/e1dde83ab19279340b93cb37c67ee8ff/AdobeStock_169039678.jpeg?w=1250&amp;h=835&amp;fl=progressive&amp;q=80&amp;fm=jpg 1250w,https://images.ctfassets.net/isq5xwjfoz2m/4NgiRKE4Boy0368Q1IwG11/e1dde83ab19279340b93cb37c67ee8ff/AdobeStock_169039678.jpeg?w=2500&amp;h=1669&amp;fl=progressive&amp;q=80&amp;fm=jpg 2500w"" alt=""Ceiling lights""/></picture>DesignBusinessBuilt EnvironmentWhy buy light bulbs when you can buy light? SignifySignify’s circular lighting is a completely new approach to lighting where the capital expense of...","https://www.ellenmacarthurfoundation.org/circular-examples/why-buy-light-bulbs-when-you-can-buy-light-signify","Why buy light bulbs when you can buy light? Signify","Signify","2016","Netherlands","3 March 2022","Signify, formerly Philips Lighting, is a multinational lighting corporation producing and selling electric lights and lighting fixtures that are installed all over the world. Signify employs almost 40,000 employees and has production facilities in over 70 countries."
"1704575993-2","https://www.ellenmacarthurfoundation.org/circular-examples-collection-great-ideas","Article<picture><source type=""image/avif"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/4tIdWzhgKJR7f1IhmzYrpV/3d6c5518673b4487aee9863a2b3f03b8/Listing_-_CE_Example_-_Winnow.png?w=144&amp;h=81&amp;q=80&amp;fm=avif 144w,https://images.ctfassets.net/isq5xwjfoz2m/4tIdWzhgKJR7f1IhmzYrpV/3d6c5518673b4487aee9863a2b3f03b8/Listing_-_CE_Example_-_Winnow.png?w=287&amp;h=162&amp;q=80&amp;fm=avif 287w,https://images.ctfassets.net/isq5xwjfoz2m/4tIdWzhgKJR7f1IhmzYrpV/3d6c5518673b4487aee9863a2b3f03b8/Listing_-_CE_Example_-_Winnow.png?w=574&amp;h=323&amp;q=80&amp;fm=avif 574w"" sizes=""(min-width: 574px) 574px, 100vw""/><source type=""image/webp"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/4tIdWzhgKJR7f1IhmzYrpV/3d6c5518673b4487aee9863a2b3f03b8/Listing_-_CE_Example_-_Winnow.png?w=144&amp;h=81&amp;q=80&amp;fm=webp 144w,https://images.ctfassets.net/isq5xwjfoz2m/4tIdWzhgKJR7f1IhmzYrpV/3d6c5518673b4487aee9863a2b3f03b8/Listing_-_CE_Example_-_Winnow.png?w=287&amp;h=162&amp;q=80&amp;fm=webp 287w,https://images.ctfassets.net/isq5xwjfoz2m/4tIdWzhgKJR7f1IhmzYrpV/3d6c5518673b4487aee9863a2b3f03b8/Listing_-_CE_Example_-_Winnow.png?w=574&amp;h=323&amp;q=80&amp;fm=webp 574w"" sizes=""(min-width: 574px) 574px, 100vw""/><img data-gatsby-image-ssr="""" data-main-image="""" style=""opacity:0"" sizes=""(min-width: 574px) 574px, 100vw"" decoding=""async"" loading=""lazy"" src=""https://images.ctfassets.net/isq5xwjfoz2m/4tIdWzhgKJR7f1IhmzYrpV/3d6c5518673b4487aee9863a2b3f03b8/Listing_-_CE_Example_-_Winnow.png?w=574&amp;h=323&amp;q=80&amp;fm=png"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/4tIdWzhgKJR7f1IhmzYrpV/3d6c5518673b4487aee9863a2b3f03b8/Listing_-_CE_Example_-_Winnow.png?w=144&amp;h=81&amp;q=80&amp;fm=png 144w,https://images.ctfassets.net/isq5xwjfoz2m/4tIdWzhgKJR7f1IhmzYrpV/3d6c5518673b4487aee9863a2b3f03b8/Listing_-_CE_Example_-_Winnow.png?w=287&amp;h=162&amp;q=80&amp;fm=png 287w,https://images.ctfassets.net/isq5xwjfoz2m/4tIdWzhgKJR7f1IhmzYrpV/3d6c5518673b4487aee9863a2b3f03b8/Listing_-_CE_Example_-_Winnow.png?w=574&amp;h=323&amp;q=80&amp;fm=png 574w"" alt=""Chefs preparing food""/></picture>FoodReducing food waste, increasing profits: WinnowWinnow was founded with a simple belief that food is too valuable to waste.","https://www.ellenmacarthurfoundation.org/circular-examples/winnow","Reducing food waste, increasing profits: Winnow","Winnow","2013","HQ in London","1 October 2021","In a typical commercial kitchen, up to 20% of all food purchased is thrown away, leading to lost profits, wasted resources and numerous social and environmental impacts. Responding to this, Winnow has created an easy-to-install technology that collects data and generates insights on food waste."
"1704575996-3","https://www.ellenmacarthurfoundation.org/circular-examples-collection-great-ideas","Article<picture><source type=""image/avif"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/5Gd1euNPx0AdHondfq53IE/b19eb333e65aa785fb2e195f306ae798/Listing_-_CE_Example_-__AMP_Robotics.png?w=144&amp;h=81&amp;q=80&amp;fm=avif 144w,https://images.ctfassets.net/isq5xwjfoz2m/5Gd1euNPx0AdHondfq53IE/b19eb333e65aa785fb2e195f306ae798/Listing_-_CE_Example_-__AMP_Robotics.png?w=287&amp;h=162&amp;q=80&amp;fm=avif 287w,https://images.ctfassets.net/isq5xwjfoz2m/5Gd1euNPx0AdHondfq53IE/b19eb333e65aa785fb2e195f306ae798/Listing_-_CE_Example_-__AMP_Robotics.png?w=574&amp;h=323&amp;q=80&amp;fm=avif 574w"" sizes=""(min-width: 574px) 574px, 100vw""/><source type=""image/webp"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/5Gd1euNPx0AdHondfq53IE/b19eb333e65aa785fb2e195f306ae798/Listing_-_CE_Example_-__AMP_Robotics.png?w=144&amp;h=81&amp;q=80&amp;fm=webp 144w,https://images.ctfassets.net/isq5xwjfoz2m/5Gd1euNPx0AdHondfq53IE/b19eb333e65aa785fb2e195f306ae798/Listing_-_CE_Example_-__AMP_Robotics.png?w=287&amp;h=162&amp;q=80&amp;fm=webp 287w,https://images.ctfassets.net/isq5xwjfoz2m/5Gd1euNPx0AdHondfq53IE/b19eb333e65aa785fb2e195f306ae798/Listing_-_CE_Example_-__AMP_Robotics.png?w=574&amp;h=323&amp;q=80&amp;fm=webp 574w"" sizes=""(min-width: 574px) 574px, 100vw""/><img data-gatsby-image-ssr="""" data-main-image="""" style=""opacity:0"" sizes=""(min-width: 574px) 574px, 100vw"" decoding=""async"" loading=""lazy"" src=""https://images.ctfassets.net/isq5xwjfoz2m/5Gd1euNPx0AdHondfq53IE/b19eb333e65aa785fb2e195f306ae798/Listing_-_CE_Example_-__AMP_Robotics.png?w=574&amp;h=323&amp;q=80&amp;fm=png"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/5Gd1euNPx0AdHondfq53IE/b19eb333e65aa785fb2e195f306ae798/Listing_-_CE_Example_-__AMP_Robotics.png?w=144&amp;h=81&amp;q=80&amp;fm=png 144w,https://images.ctfassets.net/isq5xwjfoz2m/5Gd1euNPx0AdHondfq53IE/b19eb333e65aa785fb2e195f306ae798/Listing_-_CE_Example_-__AMP_Robotics.png?w=287&amp;h=162&amp;q=80&amp;fm=png 287w,https://images.ctfassets.net/isq5xwjfoz2m/5Gd1euNPx0AdHondfq53IE/b19eb333e65aa785fb2e195f306ae798/Listing_-_CE_Example_-__AMP_Robotics.png?w=574&amp;h=323&amp;q=80&amp;fm=png 574w"" alt=""Robot sorting waste""/></picture>BusinessPlasticsArtificial intelligence for recycling: AMP RoboticsImproving the economics of recycling using artificial intelligence","https://www.ellenmacarthurfoundation.org/circular-examples/artificial-intelligence-for-recycling-amp-robotics","Artificial intelligence for recycling: AMP Robotics","AMP Robotics","Colorado, US","","1 October 2021","AMP’s artificial intelligence (AI) platform AMP NeuronTM uses cameras to scan mixed waste streams and identify the different materials. Neuron’s deep learning capability allows for continuous improvement of the identification and categorisation of paper, plastics and metals, by colour, size, shape, brand and other traits."
"1704575998-4","https://www.ellenmacarthurfoundation.org/circular-examples-collection-great-ideas","Article<picture><source type=""image/avif"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/4ZxQ8XpsG3S5LLxmde9IXK/84ac9818229b1ebe47d1906a1488c8a4/Listing_-_CE_Example_-__Resortecs.png?w=144&amp;h=81&amp;q=80&amp;fm=avif 144w,https://images.ctfassets.net/isq5xwjfoz2m/4ZxQ8XpsG3S5LLxmde9IXK/84ac9818229b1ebe47d1906a1488c8a4/Listing_-_CE_Example_-__Resortecs.png?w=287&amp;h=162&amp;q=80&amp;fm=avif 287w,https://images.ctfassets.net/isq5xwjfoz2m/4ZxQ8XpsG3S5LLxmde9IXK/84ac9818229b1ebe47d1906a1488c8a4/Listing_-_CE_Example_-__Resortecs.png?w=574&amp;h=323&amp;q=80&amp;fm=avif 574w"" sizes=""(min-width: 574px) 574px, 100vw""/><source type=""image/webp"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/4ZxQ8XpsG3S5LLxmde9IXK/84ac9818229b1ebe47d1906a1488c8a4/Listing_-_CE_Example_-__Resortecs.png?w=144&amp;h=81&amp;q=80&amp;fm=webp 144w,https://images.ctfassets.net/isq5xwjfoz2m/4ZxQ8XpsG3S5LLxmde9IXK/84ac9818229b1ebe47d1906a1488c8a4/Listing_-_CE_Example_-__Resortecs.png?w=287&amp;h=162&amp;q=80&amp;fm=webp 287w,https://images.ctfassets.net/isq5xwjfoz2m/4ZxQ8XpsG3S5LLxmde9IXK/84ac9818229b1ebe47d1906a1488c8a4/Listing_-_CE_Example_-__Resortecs.png?w=574&amp;h=323&amp;q=80&amp;fm=webp 574w"" sizes=""(min-width: 574px) 574px, 100vw""/><img data-gatsby-image-ssr="""" data-main-image="""" style=""opacity:0"" sizes=""(min-width: 574px) 574px, 100vw"" decoding=""async"" loading=""lazy"" src=""https://images.ctfassets.net/isq5xwjfoz2m/4ZxQ8XpsG3S5LLxmde9IXK/84ac9818229b1ebe47d1906a1488c8a4/Listing_-_CE_Example_-__Resortecs.png?w=574&amp;h=323&amp;q=80&amp;fm=png"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/4ZxQ8XpsG3S5LLxmde9IXK/84ac9818229b1ebe47d1906a1488c8a4/Listing_-_CE_Example_-__Resortecs.png?w=144&amp;h=81&amp;q=80&amp;fm=png 144w,https://images.ctfassets.net/isq5xwjfoz2m/4ZxQ8XpsG3S5LLxmde9IXK/84ac9818229b1ebe47d1906a1488c8a4/Listing_-_CE_Example_-__Resortecs.png?w=287&amp;h=162&amp;q=80&amp;fm=png 287w,https://images.ctfassets.net/isq5xwjfoz2m/4ZxQ8XpsG3S5LLxmde9IXK/84ac9818229b1ebe47d1906a1488c8a4/Listing_-_CE_Example_-__Resortecs.png?w=574&amp;h=323&amp;q=80&amp;fm=png 574w"" alt=""Sewing machine with blue cloth""/></picture>FashionDissolvable stitches that improve clothing recycling: ResortecsResortecs has developed an innovative solution that helps solve a widespread fashion...","https://www.ellenmacarthurfoundation.org/circular-examples/dissolvable-stitches-that-improve-clothing-recycling-resortecs","Dissolvable stitches that improve clothing recycling: Resortecs","Resortecs","2017","Ghent, Belgium","23 June 2021","Resortecs has developed an innovative solution that helps solve a widespread fashion industry challenge: how to recycle garments more effectively."
"1704576000-5","https://www.ellenmacarthurfoundation.org/circular-examples-collection-great-ideas","Article<picture><source type=""image/avif"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/6ORPOM9qIV39zbdFp4dgvT/6c587047e264e2496fb8e0826182a977/Listing_-_CE_Example_-_Ecovative.jpg?w=144&amp;h=81&amp;q=80&amp;fm=avif 144w,https://images.ctfassets.net/isq5xwjfoz2m/6ORPOM9qIV39zbdFp4dgvT/6c587047e264e2496fb8e0826182a977/Listing_-_CE_Example_-_Ecovative.jpg?w=287&amp;h=162&amp;q=80&amp;fm=avif 287w,https://images.ctfassets.net/isq5xwjfoz2m/6ORPOM9qIV39zbdFp4dgvT/6c587047e264e2496fb8e0826182a977/Listing_-_CE_Example_-_Ecovative.jpg?w=574&amp;h=323&amp;q=80&amp;fm=avif 574w"" sizes=""(min-width: 574px) 574px, 100vw""/><source type=""image/webp"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/6ORPOM9qIV39zbdFp4dgvT/6c587047e264e2496fb8e0826182a977/Listing_-_CE_Example_-_Ecovative.jpg?w=144&amp;h=81&amp;q=80&amp;fm=webp 144w,https://images.ctfassets.net/isq5xwjfoz2m/6ORPOM9qIV39zbdFp4dgvT/6c587047e264e2496fb8e0826182a977/Listing_-_CE_Example_-_Ecovative.jpg?w=287&amp;h=162&amp;q=80&amp;fm=webp 287w,https://images.ctfassets.net/isq5xwjfoz2m/6ORPOM9qIV39zbdFp4dgvT/6c587047e264e2496fb8e0826182a977/Listing_-_CE_Example_-_Ecovative.jpg?w=574&amp;h=323&amp;q=80&amp;fm=webp 574w"" sizes=""(min-width: 574px) 574px, 100vw""/><img data-gatsby-image-ssr="""" data-main-image="""" style=""opacity:0"" sizes=""(min-width: 574px) 574px, 100vw"" decoding=""async"" loading=""lazy"" src=""https://images.ctfassets.net/isq5xwjfoz2m/6ORPOM9qIV39zbdFp4dgvT/6c587047e264e2496fb8e0826182a977/Listing_-_CE_Example_-_Ecovative.jpg?w=574&amp;h=323&amp;fl=progressive&amp;q=80&amp;fm=jpg"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/6ORPOM9qIV39zbdFp4dgvT/6c587047e264e2496fb8e0826182a977/Listing_-_CE_Example_-_Ecovative.jpg?w=144&amp;h=81&amp;fl=progressive&amp;q=80&amp;fm=jpg 144w,https://images.ctfassets.net/isq5xwjfoz2m/6ORPOM9qIV39zbdFp4dgvT/6c587047e264e2496fb8e0826182a977/Listing_-_CE_Example_-_Ecovative.jpg?w=287&amp;h=162&amp;fl=progressive&amp;q=80&amp;fm=jpg 287w,https://images.ctfassets.net/isq5xwjfoz2m/6ORPOM9qIV39zbdFp4dgvT/6c587047e264e2496fb8e0826182a977/Listing_-_CE_Example_-_Ecovative.jpg?w=574&amp;h=323&amp;fl=progressive&amp;q=80&amp;fm=jpg 574w"" alt=""Mushrooms""/></picture>DesignPackaging from ‘mushroom plastic’: EcovativeEcovative makes fully compostable packaging products made from mushroom roots or ‘mycelium’ branded...","https://www.ellenmacarthurfoundation.org/circular-examples/packaging-from-mushroom-plastic-ecovative","Packaging from ‘mushroom plastic’: Ecovative","Ecovative","2007","New York","19 August 2021","Ecovative makes fully compostable packaging products made from mushroom roots or ‘mycelium’ branded MycoComposite™."
"1704576003-6","https://www.ellenmacarthurfoundation.org/circular-examples-collection-great-ideas","Article<picture><source type=""image/avif"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/6k5wvw2kIHk1NbAYUNRaRC/63e84ebe5adca564a69d0c64d7170ea2/Listing_-_CE_Example_-_Trove.png?w=144&amp;h=81&amp;q=80&amp;fm=avif 144w,https://images.ctfassets.net/isq5xwjfoz2m/6k5wvw2kIHk1NbAYUNRaRC/63e84ebe5adca564a69d0c64d7170ea2/Listing_-_CE_Example_-_Trove.png?w=287&amp;h=162&amp;q=80&amp;fm=avif 287w,https://images.ctfassets.net/isq5xwjfoz2m/6k5wvw2kIHk1NbAYUNRaRC/63e84ebe5adca564a69d0c64d7170ea2/Listing_-_CE_Example_-_Trove.png?w=574&amp;h=323&amp;q=80&amp;fm=avif 574w"" sizes=""(min-width: 574px) 574px, 100vw""/><source type=""image/webp"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/6k5wvw2kIHk1NbAYUNRaRC/63e84ebe5adca564a69d0c64d7170ea2/Listing_-_CE_Example_-_Trove.png?w=144&amp;h=81&amp;q=80&amp;fm=webp 144w,https://images.ctfassets.net/isq5xwjfoz2m/6k5wvw2kIHk1NbAYUNRaRC/63e84ebe5adca564a69d0c64d7170ea2/Listing_-_CE_Example_-_Trove.png?w=287&amp;h=162&amp;q=80&amp;fm=webp 287w,https://images.ctfassets.net/isq5xwjfoz2m/6k5wvw2kIHk1NbAYUNRaRC/63e84ebe5adca564a69d0c64d7170ea2/Listing_-_CE_Example_-_Trove.png?w=574&amp;h=323&amp;q=80&amp;fm=webp 574w"" sizes=""(min-width: 574px) 574px, 100vw""/><img data-gatsby-image-ssr="""" data-main-image="""" style=""opacity:0"" sizes=""(min-width: 574px) 574px, 100vw"" decoding=""async"" loading=""lazy"" src=""https://images.ctfassets.net/isq5xwjfoz2m/6k5wvw2kIHk1NbAYUNRaRC/63e84ebe5adca564a69d0c64d7170ea2/Listing_-_CE_Example_-_Trove.png?w=574&amp;h=323&amp;q=80&amp;fm=png"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/6k5wvw2kIHk1NbAYUNRaRC/63e84ebe5adca564a69d0c64d7170ea2/Listing_-_CE_Example_-_Trove.png?w=144&amp;h=81&amp;q=80&amp;fm=png 144w,https://images.ctfassets.net/isq5xwjfoz2m/6k5wvw2kIHk1NbAYUNRaRC/63e84ebe5adca564a69d0c64d7170ea2/Listing_-_CE_Example_-_Trove.png?w=287&amp;h=162&amp;q=80&amp;fm=png 287w,https://images.ctfassets.net/isq5xwjfoz2m/6k5wvw2kIHk1NbAYUNRaRC/63e84ebe5adca564a69d0c64d7170ea2/Listing_-_CE_Example_-_Trove.png?w=574&amp;h=323&amp;q=80&amp;fm=png 574w"" alt=""person selecting clothes from clothes rail""/></picture>FashionThe online platform for scaling reuse: TroveTrove gives companies access to their own products in the secondary market by offering a platform...","https://www.ellenmacarthurfoundation.org/circular-examples/the-online-platform-for-scaling-reuse-trove","The online platform for scaling reuse: Trove","Trove","2012","San Francisco, California","27 August 2021","Trove provides a platform for resale and trade-in to brands and retailers such as Canada Goose, lululemon, Patagonia, REI, Levi’s, Arc’teryx, Allbirds, Eileen Fisher and more."
"1704576005-7","https://www.ellenmacarthurfoundation.org/circular-examples-collection-great-ideas","Article<picture><source type=""image/avif"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/H4p44BNPoyBSBCGX4vlzq/7538e455cb5c5829abfeb0a5f83410cd/Listing_-_CE_Example_-_Omocom__1_.png?w=144&amp;h=81&amp;q=80&amp;fm=avif 144w,https://images.ctfassets.net/isq5xwjfoz2m/H4p44BNPoyBSBCGX4vlzq/7538e455cb5c5829abfeb0a5f83410cd/Listing_-_CE_Example_-_Omocom__1_.png?w=287&amp;h=162&amp;q=80&amp;fm=avif 287w,https://images.ctfassets.net/isq5xwjfoz2m/H4p44BNPoyBSBCGX4vlzq/7538e455cb5c5829abfeb0a5f83410cd/Listing_-_CE_Example_-_Omocom__1_.png?w=574&amp;h=323&amp;q=80&amp;fm=avif 574w"" sizes=""(min-width: 574px) 574px, 100vw""/><source type=""image/webp"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/H4p44BNPoyBSBCGX4vlzq/7538e455cb5c5829abfeb0a5f83410cd/Listing_-_CE_Example_-_Omocom__1_.png?w=144&amp;h=81&amp;q=80&amp;fm=webp 144w,https://images.ctfassets.net/isq5xwjfoz2m/H4p44BNPoyBSBCGX4vlzq/7538e455cb5c5829abfeb0a5f83410cd/Listing_-_CE_Example_-_Omocom__1_.png?w=287&amp;h=162&amp;q=80&amp;fm=webp 287w,https://images.ctfassets.net/isq5xwjfoz2m/H4p44BNPoyBSBCGX4vlzq/7538e455cb5c5829abfeb0a5f83410cd/Listing_-_CE_Example_-_Omocom__1_.png?w=574&amp;h=323&amp;q=80&amp;fm=webp 574w"" sizes=""(min-width: 574px) 574px, 100vw""/><img data-gatsby-image-ssr="""" data-main-image="""" style=""opacity:0"" sizes=""(min-width: 574px) 574px, 100vw"" decoding=""async"" loading=""lazy"" src=""https://images.ctfassets.net/isq5xwjfoz2m/H4p44BNPoyBSBCGX4vlzq/7538e455cb5c5829abfeb0a5f83410cd/Listing_-_CE_Example_-_Omocom__1_.png?w=574&amp;h=323&amp;q=80&amp;fm=png"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/H4p44BNPoyBSBCGX4vlzq/7538e455cb5c5829abfeb0a5f83410cd/Listing_-_CE_Example_-_Omocom__1_.png?w=144&amp;h=81&amp;q=80&amp;fm=png 144w,https://images.ctfassets.net/isq5xwjfoz2m/H4p44BNPoyBSBCGX4vlzq/7538e455cb5c5829abfeb0a5f83410cd/Listing_-_CE_Example_-_Omocom__1_.png?w=287&amp;h=162&amp;q=80&amp;fm=png 287w,https://images.ctfassets.net/isq5xwjfoz2m/H4p44BNPoyBSBCGX4vlzq/7538e455cb5c5829abfeb0a5f83410cd/Listing_-_CE_Example_-_Omocom__1_.png?w=574&amp;h=323&amp;q=80&amp;fm=png 574w"" alt=""Close up of car""/></picture>BusinessCreating trust in the sharing economy: OmocomOn-demand micro-insurance for the sharing economy. The Swedish company provides insurance for hire...","https://www.ellenmacarthurfoundation.org/circular-examples/creating-trust-in-the-sharing-economy-omocom","Creating trust in the sharing economy: Omocom","Omocom","2017","Stockholm, Sweden","7 October 2021","The Swedish company provides insurance for hire goods. But here’s the smart bit - they only insure an item while it’s being used, transported, accessed, or similar, for a short period of time. For those looking to earn extra money by listing their items on peer-to-peer platforms but worried about potential damage, Omocom has the solution."
