web-scraper-order,web-scraper-start-url,links,links-href,Name,Company,Founded,Origin,Published,About
"1704575743-1","https://www.ellenmacarthurfoundation.org/circular-examples-collection-multinational-companies","Article<picture><source type=""image/avif"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/IxZ9hqJPtoc7vwvshKXIT/d63a05270b2226850d24dfd6a134e7c6/QQT_podium_garden.jpg?w=447&amp;h=280&amp;q=80&amp;fm=avif 447w,https://images.ctfassets.net/isq5xwjfoz2m/IxZ9hqJPtoc7vwvshKXIT/d63a05270b2226850d24dfd6a134e7c6/QQT_podium_garden.jpg?w=894&amp;h=559&amp;q=80&amp;fm=avif 894w,https://images.ctfassets.net/isq5xwjfoz2m/IxZ9hqJPtoc7vwvshKXIT/d63a05270b2226850d24dfd6a134e7c6/QQT_podium_garden.jpg?w=1788&amp;h=1118&amp;q=80&amp;fm=avif 1788w"" sizes=""(min-width: 1788px) 1788px, 100vw""/><source type=""image/webp"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/IxZ9hqJPtoc7vwvshKXIT/d63a05270b2226850d24dfd6a134e7c6/QQT_podium_garden.jpg?w=447&amp;h=280&amp;q=80&amp;fm=webp 447w,https://images.ctfassets.net/isq5xwjfoz2m/IxZ9hqJPtoc7vwvshKXIT/d63a05270b2226850d24dfd6a134e7c6/QQT_podium_garden.jpg?w=894&amp;h=559&amp;q=80&amp;fm=webp 894w,https://images.ctfassets.net/isq5xwjfoz2m/IxZ9hqJPtoc7vwvshKXIT/d63a05270b2226850d24dfd6a134e7c6/QQT_podium_garden.jpg?w=1788&amp;h=1118&amp;q=80&amp;fm=webp 1788w"" sizes=""(min-width: 1788px) 1788px, 100vw""/><img data-gatsby-image-ssr="""" data-main-image="""" style=""opacity:0"" sizes=""(min-width: 1788px) 1788px, 100vw"" decoding=""async"" loading=""lazy"" src=""https://images.ctfassets.net/isq5xwjfoz2m/IxZ9hqJPtoc7vwvshKXIT/d63a05270b2226850d24dfd6a134e7c6/QQT_podium_garden.jpg?w=1788&amp;h=1118&amp;fl=progressive&amp;q=80&amp;fm=jpg"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/IxZ9hqJPtoc7vwvshKXIT/d63a05270b2226850d24dfd6a134e7c6/QQT_podium_garden.jpg?w=447&amp;h=280&amp;fl=progressive&amp;q=80&amp;fm=jpg 447w,https://images.ctfassets.net/isq5xwjfoz2m/IxZ9hqJPtoc7vwvshKXIT/d63a05270b2226850d24dfd6a134e7c6/QQT_podium_garden.jpg?w=894&amp;h=559&amp;fl=progressive&amp;q=80&amp;fm=jpg 894w,https://images.ctfassets.net/isq5xwjfoz2m/IxZ9hqJPtoc7vwvshKXIT/d63a05270b2226850d24dfd6a134e7c6/QQT_podium_garden.jpg?w=1788&amp;h=1118&amp;fl=progressive&amp;q=80&amp;fm=jpg 1788w"" alt=""Birds eye view of QQT podium garden""/></picture>Built EnvironmentA leader in the circular built environment: Arup Group LimitedArup is a leading multi-disciplinary design firm that has played a central role in many of the most...","https://www.ellenmacarthurfoundation.org/circular-examples/a-leader-in-the-transition-to-a-circular-built-environment-arup-group","A leader in the transition to a circular built environment: Arup Group Limited","Arup Group Limited","1946","UK","15 March 2022","Arup is a leading multi-disciplinary design firm that has played a central role in many of the most iconic and high-profile building projects of the recent era, such as the Sydney Opera House. Founded in 1946, Arup has become well known for its innovative approach to complex and challenging projects: predominantly in the built environment, but also in other sectors."
"1704575746-2","https://www.ellenmacarthurfoundation.org/circular-examples-collection-multinational-companies","Article<picture><source type=""image/avif"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/2Y8d5suVXqXI7BprMkXwEm/f458efc4d24a2672b9f63be7d972583c/Listing_-_CE_Example_-_H_M.png?w=216&amp;h=122&amp;q=80&amp;fm=avif 216w,https://images.ctfassets.net/isq5xwjfoz2m/2Y8d5suVXqXI7BprMkXwEm/f458efc4d24a2672b9f63be7d972583c/Listing_-_CE_Example_-_H_M.png?w=431&amp;h=243&amp;q=80&amp;fm=avif 431w,https://images.ctfassets.net/isq5xwjfoz2m/2Y8d5suVXqXI7BprMkXwEm/f458efc4d24a2672b9f63be7d972583c/Listing_-_CE_Example_-_H_M.png?w=862&amp;h=485&amp;q=80&amp;fm=avif 862w"" sizes=""(min-width: 862px) 862px, 100vw""/><source type=""image/webp"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/2Y8d5suVXqXI7BprMkXwEm/f458efc4d24a2672b9f63be7d972583c/Listing_-_CE_Example_-_H_M.png?w=216&amp;h=122&amp;q=80&amp;fm=webp 216w,https://images.ctfassets.net/isq5xwjfoz2m/2Y8d5suVXqXI7BprMkXwEm/f458efc4d24a2672b9f63be7d972583c/Listing_-_CE_Example_-_H_M.png?w=431&amp;h=243&amp;q=80&amp;fm=webp 431w,https://images.ctfassets.net/isq5xwjfoz2m/2Y8d5suVXqXI7BprMkXwEm/f458efc4d24a2672b9f63be7d972583c/Listing_-_CE_Example_-_H_M.png?w=862&amp;h=485&amp;q=80&amp;fm=webp 862w"" sizes=""(min-width: 862px) 862px, 100vw""/><img data-gatsby-image-ssr="""" data-main-image="""" style=""opacity:0"" sizes=""(min-width: 862px) 862px, 100vw"" decoding=""async"" loading=""lazy"" src=""https://images.ctfassets.net/isq5xwjfoz2m/2Y8d5suVXqXI7BprMkXwEm/f458efc4d24a2672b9f63be7d972583c/Listing_-_CE_Example_-_H_M.png?w=862&amp;h=485&amp;q=80&amp;fm=png"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/2Y8d5suVXqXI7BprMkXwEm/f458efc4d24a2672b9f63be7d972583c/Listing_-_CE_Example_-_H_M.png?w=216&amp;h=122&amp;q=80&amp;fm=png 216w,https://images.ctfassets.net/isq5xwjfoz2m/2Y8d5suVXqXI7BprMkXwEm/f458efc4d24a2672b9f63be7d972583c/Listing_-_CE_Example_-_H_M.png?w=431&amp;h=243&amp;q=80&amp;fm=png 431w,https://images.ctfassets.net/isq5xwjfoz2m/2Y8d5suVXqXI7BprMkXwEm/f458efc4d24a2672b9f63be7d972583c/Listing_-_CE_Example_-_H_M.png?w=862&amp;h=485&amp;q=80&amp;fm=png 862w"" alt=""Greenery on orange background""/></picture>FashionClimateHow H&M Group is progressing towards a circular economy in fashionHow H&M Group is progressing towards a circular economy in fashion","https://www.ellenmacarthurfoundation.org/circular-examples/hm-group","Designing products for circularity: H&M Group","H&M Group","1947","Sweden","14 December 2021",""
"1704575748-3","https://www.ellenmacarthurfoundation.org/circular-examples-collection-multinational-companies","Article<picture><source type=""image/avif"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/6N3LznCNDCtS1urOgHnmLe/27da1401f7ae2b28202e714e19306080/Listing_-_CE_Example_-_Intesa_Sanpaolo__1_.png?w=144&amp;h=81&amp;q=80&amp;fm=avif 144w,https://images.ctfassets.net/isq5xwjfoz2m/6N3LznCNDCtS1urOgHnmLe/27da1401f7ae2b28202e714e19306080/Listing_-_CE_Example_-_Intesa_Sanpaolo__1_.png?w=287&amp;h=162&amp;q=80&amp;fm=avif 287w,https://images.ctfassets.net/isq5xwjfoz2m/6N3LznCNDCtS1urOgHnmLe/27da1401f7ae2b28202e714e19306080/Listing_-_CE_Example_-_Intesa_Sanpaolo__1_.png?w=574&amp;h=323&amp;q=80&amp;fm=avif 574w"" sizes=""(min-width: 574px) 574px, 100vw""/><source type=""image/webp"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/6N3LznCNDCtS1urOgHnmLe/27da1401f7ae2b28202e714e19306080/Listing_-_CE_Example_-_Intesa_Sanpaolo__1_.png?w=144&amp;h=81&amp;q=80&amp;fm=webp 144w,https://images.ctfassets.net/isq5xwjfoz2m/6N3LznCNDCtS1urOgHnmLe/27da1401f7ae2b28202e714e19306080/Listing_-_CE_Example_-_Intesa_Sanpaolo__1_.png?w=287&amp;h=162&amp;q=80&amp;fm=webp 287w,https://images.ctfassets.net/isq5xwjfoz2m/6N3LznCNDCtS1urOgHnmLe/27da1401f7ae2b28202e714e19306080/Listing_-_CE_Example_-_Intesa_Sanpaolo__1_.png?w=574&amp;h=323&amp;q=80&amp;fm=webp 574w"" sizes=""(min-width: 574px) 574px, 100vw""/><img data-gatsby-image-ssr="""" data-main-image="""" style=""opacity:0"" sizes=""(min-width: 574px) 574px, 100vw"" decoding=""async"" loading=""lazy"" src=""https://images.ctfassets.net/isq5xwjfoz2m/6N3LznCNDCtS1urOgHnmLe/27da1401f7ae2b28202e714e19306080/Listing_-_CE_Example_-_Intesa_Sanpaolo__1_.png?w=574&amp;h=323&amp;q=80&amp;fm=png"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/6N3LznCNDCtS1urOgHnmLe/27da1401f7ae2b28202e714e19306080/Listing_-_CE_Example_-_Intesa_Sanpaolo__1_.png?w=144&amp;h=81&amp;q=80&amp;fm=png 144w,https://images.ctfassets.net/isq5xwjfoz2m/6N3LznCNDCtS1urOgHnmLe/27da1401f7ae2b28202e714e19306080/Listing_-_CE_Example_-_Intesa_Sanpaolo__1_.png?w=287&amp;h=162&amp;q=80&amp;fm=png 287w,https://images.ctfassets.net/isq5xwjfoz2m/6N3LznCNDCtS1urOgHnmLe/27da1401f7ae2b28202e714e19306080/Listing_-_CE_Example_-_Intesa_Sanpaolo__1_.png?w=574&amp;h=323&amp;q=80&amp;fm=png 574w"" alt=""building""/></picture>BusinessFinanceThe role of a bank in the circular economy: Intesa SanpaoloPromoting and supporting the circular economy is of primary importance to Intesa Sanpaolo and is...","https://www.ellenmacarthurfoundation.org/circular-examples/embracing-the-circular-economy-at-italys-largest-bank-intesa-sanpaolo","Embracing the circular economy at Italy’s largest bank: Intesa Sanpaolo","Embracing the circular economy at Italy’s largest bank: Intesa Sanpaolo","2007","Italy","6 October 2021","Intesa Sanpaolo is an Italian international banking group. With 14.6 million customers, it is Italy’s largest bank by total assets and one of the top 30 largest in the world. Intesa Sanpaolo Group is active in Europe, Central Eastern Europe, the Middle East and North Africa, as well as the United States, Brazil, Russia, India and China."
"1704575751-4","https://www.ellenmacarthurfoundation.org/circular-examples-collection-multinational-companies","Article<picture><source type=""image/avif"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/2iwUdKZ6sI94hFFgTTqPQs/7c502cf3fec25cd30422c200d88678b8/Listing_-_CE_Example_-__Renault.png?w=144&amp;h=81&amp;q=80&amp;fm=avif 144w,https://images.ctfassets.net/isq5xwjfoz2m/2iwUdKZ6sI94hFFgTTqPQs/7c502cf3fec25cd30422c200d88678b8/Listing_-_CE_Example_-__Renault.png?w=287&amp;h=162&amp;q=80&amp;fm=avif 287w,https://images.ctfassets.net/isq5xwjfoz2m/2iwUdKZ6sI94hFFgTTqPQs/7c502cf3fec25cd30422c200d88678b8/Listing_-_CE_Example_-__Renault.png?w=574&amp;h=323&amp;q=80&amp;fm=avif 574w"" sizes=""(min-width: 574px) 574px, 100vw""/><source type=""image/webp"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/2iwUdKZ6sI94hFFgTTqPQs/7c502cf3fec25cd30422c200d88678b8/Listing_-_CE_Example_-__Renault.png?w=144&amp;h=81&amp;q=80&amp;fm=webp 144w,https://images.ctfassets.net/isq5xwjfoz2m/2iwUdKZ6sI94hFFgTTqPQs/7c502cf3fec25cd30422c200d88678b8/Listing_-_CE_Example_-__Renault.png?w=287&amp;h=162&amp;q=80&amp;fm=webp 287w,https://images.ctfassets.net/isq5xwjfoz2m/2iwUdKZ6sI94hFFgTTqPQs/7c502cf3fec25cd30422c200d88678b8/Listing_-_CE_Example_-__Renault.png?w=574&amp;h=323&amp;q=80&amp;fm=webp 574w"" sizes=""(min-width: 574px) 574px, 100vw""/><img data-gatsby-image-ssr="""" data-main-image="""" style=""opacity:0"" sizes=""(min-width: 574px) 574px, 100vw"" decoding=""async"" loading=""lazy"" src=""https://images.ctfassets.net/isq5xwjfoz2m/2iwUdKZ6sI94hFFgTTqPQs/7c502cf3fec25cd30422c200d88678b8/Listing_-_CE_Example_-__Renault.png?w=574&amp;h=323&amp;q=80&amp;fm=png"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/2iwUdKZ6sI94hFFgTTqPQs/7c502cf3fec25cd30422c200d88678b8/Listing_-_CE_Example_-__Renault.png?w=144&amp;h=81&amp;q=80&amp;fm=png 144w,https://images.ctfassets.net/isq5xwjfoz2m/2iwUdKZ6sI94hFFgTTqPQs/7c502cf3fec25cd30422c200d88678b8/Listing_-_CE_Example_-__Renault.png?w=287&amp;h=162&amp;q=80&amp;fm=png 287w,https://images.ctfassets.net/isq5xwjfoz2m/2iwUdKZ6sI94hFFgTTqPQs/7c502cf3fec25cd30422c200d88678b8/Listing_-_CE_Example_-__Renault.png?w=574&amp;h=323&amp;q=80&amp;fm=png 574w"" alt=""Renault headquarters""/></picture>BusinessEurope’s first circular economy factory for vehicles: RenaultEurope’s first dedicated circular economy factory for vehicles","https://www.ellenmacarthurfoundation.org/circular-examples/groupe-renault","Europe’s first circular economy factory for vehicles: Renault","1899","Boulogne-Billancourt, France","","16 August 2021","Renault is a pioneer of the circular economy in the automotive industry. The aim of their circular activities is to extend the life of vehicles and components, and keep materials in use, thereby reducing the use of virgin materials."
"1704575753-5","https://www.ellenmacarthurfoundation.org/circular-examples-collection-multinational-companies","Article<picture><source type=""image/avif"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/3SQS1lsrI1pAdQobQwxe5M/b013d05251d8a2f16ba59528242e4b1e/Listing_-_CE_Example_-__BlackRock.png?w=144&amp;h=81&amp;q=80&amp;fm=avif 144w,https://images.ctfassets.net/isq5xwjfoz2m/3SQS1lsrI1pAdQobQwxe5M/b013d05251d8a2f16ba59528242e4b1e/Listing_-_CE_Example_-__BlackRock.png?w=287&amp;h=162&amp;q=80&amp;fm=avif 287w,https://images.ctfassets.net/isq5xwjfoz2m/3SQS1lsrI1pAdQobQwxe5M/b013d05251d8a2f16ba59528242e4b1e/Listing_-_CE_Example_-__BlackRock.png?w=574&amp;h=323&amp;q=80&amp;fm=avif 574w"" sizes=""(min-width: 574px) 574px, 100vw""/><source type=""image/webp"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/3SQS1lsrI1pAdQobQwxe5M/b013d05251d8a2f16ba59528242e4b1e/Listing_-_CE_Example_-__BlackRock.png?w=144&amp;h=81&amp;q=80&amp;fm=webp 144w,https://images.ctfassets.net/isq5xwjfoz2m/3SQS1lsrI1pAdQobQwxe5M/b013d05251d8a2f16ba59528242e4b1e/Listing_-_CE_Example_-__BlackRock.png?w=287&amp;h=162&amp;q=80&amp;fm=webp 287w,https://images.ctfassets.net/isq5xwjfoz2m/3SQS1lsrI1pAdQobQwxe5M/b013d05251d8a2f16ba59528242e4b1e/Listing_-_CE_Example_-__BlackRock.png?w=574&amp;h=323&amp;q=80&amp;fm=webp 574w"" sizes=""(min-width: 574px) 574px, 100vw""/><img data-gatsby-image-ssr="""" data-main-image="""" style=""opacity:0"" sizes=""(min-width: 574px) 574px, 100vw"" decoding=""async"" loading=""lazy"" src=""https://images.ctfassets.net/isq5xwjfoz2m/3SQS1lsrI1pAdQobQwxe5M/b013d05251d8a2f16ba59528242e4b1e/Listing_-_CE_Example_-__BlackRock.png?w=574&amp;h=323&amp;q=80&amp;fm=png"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/3SQS1lsrI1pAdQobQwxe5M/b013d05251d8a2f16ba59528242e4b1e/Listing_-_CE_Example_-__BlackRock.png?w=144&amp;h=81&amp;q=80&amp;fm=png 144w,https://images.ctfassets.net/isq5xwjfoz2m/3SQS1lsrI1pAdQobQwxe5M/b013d05251d8a2f16ba59528242e4b1e/Listing_-_CE_Example_-__BlackRock.png?w=287&amp;h=162&amp;q=80&amp;fm=png 287w,https://images.ctfassets.net/isq5xwjfoz2m/3SQS1lsrI1pAdQobQwxe5M/b013d05251d8a2f16ba59528242e4b1e/Listing_-_CE_Example_-__BlackRock.png?w=574&amp;h=323&amp;q=80&amp;fm=png 574w"" alt=""City buildings in a sunny sky""/></picture>FinanceBusinessThe world’s largest investor and the circular economy: BlackRockIn October 2019 BlackRock launched a circular economy public equity fund.","https://www.ellenmacarthurfoundation.org/circular-examples/the-worlds-largest-investor-embraces-the-circular-economy-blackrock","The world’s largest investor embraces the circular economy: BlackRock","BlackRock","1988","New York City, United States","23 September 2021","BlackRock is the world’s largest asset manager investing on behalf of clients – ranging from pension funds and sovereign wealth funds to family offices and individuals – in assets such as shares of publicly-listed companies, corporate and sovereign bonds, and real assets, such as infrastructure and housing."
"1704575755-6","https://www.ellenmacarthurfoundation.org/circular-examples-collection-multinational-companies","Article<picture><source type=""image/avif"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/4o3mMoE31ZLa4Ip0ievIaL/84fdabc3fad1f58de825136cb6591f0b/Solvay_listing.png?w=144&amp;h=81&amp;q=80&amp;fm=avif 144w,https://images.ctfassets.net/isq5xwjfoz2m/4o3mMoE31ZLa4Ip0ievIaL/84fdabc3fad1f58de825136cb6591f0b/Solvay_listing.png?w=287&amp;h=162&amp;q=80&amp;fm=avif 287w,https://images.ctfassets.net/isq5xwjfoz2m/4o3mMoE31ZLa4Ip0ievIaL/84fdabc3fad1f58de825136cb6591f0b/Solvay_listing.png?w=574&amp;h=323&amp;q=80&amp;fm=avif 574w"" sizes=""(min-width: 574px) 574px, 100vw""/><source type=""image/webp"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/4o3mMoE31ZLa4Ip0ievIaL/84fdabc3fad1f58de825136cb6591f0b/Solvay_listing.png?w=144&amp;h=81&amp;q=80&amp;fm=webp 144w,https://images.ctfassets.net/isq5xwjfoz2m/4o3mMoE31ZLa4Ip0ievIaL/84fdabc3fad1f58de825136cb6591f0b/Solvay_listing.png?w=287&amp;h=162&amp;q=80&amp;fm=webp 287w,https://images.ctfassets.net/isq5xwjfoz2m/4o3mMoE31ZLa4Ip0ievIaL/84fdabc3fad1f58de825136cb6591f0b/Solvay_listing.png?w=574&amp;h=323&amp;q=80&amp;fm=webp 574w"" sizes=""(min-width: 574px) 574px, 100vw""/><img data-gatsby-image-ssr="""" data-main-image="""" style=""opacity:0"" sizes=""(min-width: 574px) 574px, 100vw"" decoding=""async"" loading=""lazy"" src=""https://images.ctfassets.net/isq5xwjfoz2m/4o3mMoE31ZLa4Ip0ievIaL/84fdabc3fad1f58de825136cb6591f0b/Solvay_listing.png?w=574&amp;h=323&amp;q=80&amp;fm=png"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/4o3mMoE31ZLa4Ip0ievIaL/84fdabc3fad1f58de825136cb6591f0b/Solvay_listing.png?w=144&amp;h=81&amp;q=80&amp;fm=png 144w,https://images.ctfassets.net/isq5xwjfoz2m/4o3mMoE31ZLa4Ip0ievIaL/84fdabc3fad1f58de825136cb6591f0b/Solvay_listing.png?w=287&amp;h=162&amp;q=80&amp;fm=png 287w,https://images.ctfassets.net/isq5xwjfoz2m/4o3mMoE31ZLa4Ip0ievIaL/84fdabc3fad1f58de825136cb6591f0b/Solvay_listing.png?w=574&amp;h=323&amp;q=80&amp;fm=png 574w"" alt=""Person charging car""/></picture>BusinessKeeping the molecules and materials in use: SolvayGlobal chemical company Solvay supplies high-performance plastics, polymers, fluids, and elastomers...","https://www.ellenmacarthurfoundation.org/circular-examples/keeping-the-molecules-and-materials-in-use-solvay","Keeping the molecules and materials in use: Solvay","Solvay","1863","Belgium","23 August 2021","Science company Solvay’s circular ambitions are seen as a key tool to delivering on its ‘One Planet’ sustainability strategy. This ambitious blueprint sets out Solvay’s pathway to a 26% reduction in emissions (with a recent SBTI commitment) and 30% reduction in biodiversity pressure by 2030."
"1704575758-7","https://www.ellenmacarthurfoundation.org/circular-examples-collection-multinational-companies","Article<picture><source type=""image/avif"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/5Br8nZKz96N0DyzNTz6ONa/2f50b1455294069d47377a1b4db9404a/Listing_-_CE_Example_-__Philips.png?w=144&amp;h=81&amp;q=80&amp;fm=avif 144w,https://images.ctfassets.net/isq5xwjfoz2m/5Br8nZKz96N0DyzNTz6ONa/2f50b1455294069d47377a1b4db9404a/Listing_-_CE_Example_-__Philips.png?w=287&amp;h=162&amp;q=80&amp;fm=avif 287w,https://images.ctfassets.net/isq5xwjfoz2m/5Br8nZKz96N0DyzNTz6ONa/2f50b1455294069d47377a1b4db9404a/Listing_-_CE_Example_-__Philips.png?w=574&amp;h=323&amp;q=80&amp;fm=avif 574w"" sizes=""(min-width: 574px) 574px, 100vw""/><source type=""image/webp"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/5Br8nZKz96N0DyzNTz6ONa/2f50b1455294069d47377a1b4db9404a/Listing_-_CE_Example_-__Philips.png?w=144&amp;h=81&amp;q=80&amp;fm=webp 144w,https://images.ctfassets.net/isq5xwjfoz2m/5Br8nZKz96N0DyzNTz6ONa/2f50b1455294069d47377a1b4db9404a/Listing_-_CE_Example_-__Philips.png?w=287&amp;h=162&amp;q=80&amp;fm=webp 287w,https://images.ctfassets.net/isq5xwjfoz2m/5Br8nZKz96N0DyzNTz6ONa/2f50b1455294069d47377a1b4db9404a/Listing_-_CE_Example_-__Philips.png?w=574&amp;h=323&amp;q=80&amp;fm=webp 574w"" sizes=""(min-width: 574px) 574px, 100vw""/><img data-gatsby-image-ssr="""" data-main-image="""" style=""opacity:0"" sizes=""(min-width: 574px) 574px, 100vw"" decoding=""async"" loading=""lazy"" src=""https://images.ctfassets.net/isq5xwjfoz2m/5Br8nZKz96N0DyzNTz6ONa/2f50b1455294069d47377a1b4db9404a/Listing_-_CE_Example_-__Philips.png?w=574&amp;h=323&amp;q=80&amp;fm=png"" srcSet=""https://images.ctfassets.net/isq5xwjfoz2m/5Br8nZKz96N0DyzNTz6ONa/2f50b1455294069d47377a1b4db9404a/Listing_-_CE_Example_-__Philips.png?w=144&amp;h=81&amp;q=80&amp;fm=png 144w,https://images.ctfassets.net/isq5xwjfoz2m/5Br8nZKz96N0DyzNTz6ONa/2f50b1455294069d47377a1b4db9404a/Listing_-_CE_Example_-__Philips.png?w=287&amp;h=162&amp;q=80&amp;fm=png 287w,https://images.ctfassets.net/isq5xwjfoz2m/5Br8nZKz96N0DyzNTz6ONa/2f50b1455294069d47377a1b4db9404a/Listing_-_CE_Example_-__Philips.png?w=574&amp;h=323&amp;q=80&amp;fm=png 574w"" alt=""MRI Machine""/></picture>BusinessPioneering circularity in the healthcare industry: Royal PhilipsPhilips is a global health technology company focused on improving health and enabling better...","https://www.ellenmacarthurfoundation.org/circular-examples/pioneering-circularity-in-the-healthcare-industry-royal-philips","Pioneering circularity in the healthcare industry: Royal Philips","Royal Philips","15th May 1891","Amsterdam, Netherlands","2 September 2021","Philips is a global health technology company focused on improving health and enabling better outcomes for people, from healthy living and illness prevention, to diagnosis, treatment and homecare. Philips products include large scale medical equipment, such as imaging, as well as smaller medical equipment and homecare products. Philips services support the whole spectrum of activities in the health industry. The company employs approximately 77,000 employees and generates EUR 17.8 billion sales in 2022 with sales and services in more than 100 countries."
